path,title,code,url
"ni-census21-household-parlcon24+accommodation_type_agg2+hh_renewable_energy_ind-81b8c67a.json","Renewable energy - Households",FTBRENEWERG,https://build.nisra.gov.uk/en/custom/data?d=HOUSEHOLD&v=PARLCON24&v=ACCOMMODATION_TYPE_AGG2&v=HH_RENEWABLE_ENERGY_IND
"ni-census21-people-health_trust+adult_lifestage_agg6+sexual_orientation_dvo_agg4-b2fd87c3.json","Sexual orientation - Adult life stage",FTBSEXORIENT,https://build.nisra.gov.uk/en/custom/data?d=PEOPLE&v=HEALTH_TRUST&v=ADULT_LIFESTAGE_AGG6&v=SEXUAL_ORIENTATION_DVO_AGG4
"ni-census21-people-religion_belong_to_or_brought_up_in_dvo+nat_id_basic+passports_held_agg4-c997cb64.json","Passports held - Religion",FTBPASSPORT,https://build.nisra.gov.uk/en/custom/data?d=PEOPLE&v=RELIGION_BELONG_TO_OR_BROUGHT_UP_IN_DVO&v=NAT_ID_BASIC&v=PASSPORTS_HELD_AGG4
"ni-census21-people-settlement15+compulsory_school_age_agg3+health_condition_autism-f86b9d3a.json","Autism - School age",FTBAUTISM,https://build.nisra.gov.uk/en/custom/data?d=PEOPLE&v=SETTLEMENT15&v=COMPULSORY_SCHOOL_AGE_AGG3&v=HEALTH_CONDITION_AUTISM
"ni-census21-people-settlement15+unemployment_history_agg4-a764936d.json","Employment History",FTBEMPHIS,https://build.nisra.gov.uk/en/custom/data?d=PEOPLE&v=SETTLEMENT15&v=UNEMPLOYMENT_HISTORY_AGG4
"ni-census21-household-health_trust-014f1396.json","Households",FTBHOUS,https://build.nisra.gov.uk/en/custom/data?d=HOUSEHOLD&v=HEALTH_TRUST
"ni-census21-people-parlcon24+in_full_time_education+age_band_broad+ur_sex-24c55f59.json","Full-time student - Age and sex",FTBSTUDAGESEX,https://build.nisra.gov.uk/en/custom/data?d=PEOPLE&v=PARLCON24&v=IN_FULL_TIME_EDUCATION&v=AGE_BAND_BROAD&v=UR_SEX
"ni-census21-household-county_ni+accommodation_type+hh_central_heating-8446612f.json","Accomodation Type",FTBACCOM,https://build.nisra.gov.uk/en/custom/data?d=HOUSEHOLD&v=COUNTY_NI&v=ACCOMMODATION_TYPE&v=HH_CENTRAL_HEATING
"ni-census21-household-parlcon24+hh_tenure-79bed69c.json","Tenor - Households",FTBHOUSTEN,https://build.nisra.gov.uk/en/custom/data?d=HOUSEHOLD&v=PARLCON24&v=HH_TENURE
